composition,icsdnum,energyperatom
Hf3Si2,638913.0,-7.77
O1Ti1,56694.0,-7.769
Al2O5Ti1,24133.0,-7.768
Mn7O12Si1,71793.0,-7.767
Mo1O2,80830.0,-7.766
Mn7O12Si1,15754.0,-7.765
Cu1La1O8W2,68614.0,-7.765
Hf5Si3,638909.0,-7.765
Fe1O3Ti1,246515.0,-7.765
Mg1Nb2O6,85008.0,-7.7620000000000005
Al2O11Si4,30119.0,-7.761
O2Si1,170532.0,-7.761
O2Si1,170521.0,-7.761
Co1Nb2O6,182711.0,-7.7589999999999995
O2Si1,170510.0,-7.7589999999999995
Co1Nb2O6,182710.0,-7.757999999999999
Co1Nb2O6,15854.0,-7.757999999999999
Mn7O12Si1,86890.0,-7.757000000000001
N1V2,167802.0,-7.757000000000001
O7Si2Sr1Ti1,83362.0,-7.754
C19Sc15,42631.0,-7.752000000000001
Na2O13W4,6141.0,-7.752000000000001
La1Mn7O12,260415.0,-7.751
C3Sc2,77396.0,-7.75
K1Nb3O8,31994.0,-7.75
Ge1O4Zr1,29262.0,-7.747999999999999
Na1Nb3O8,63203.0,-7.745
O22Sn5W8,80212.0,-7.745
Ba2Na1Nb5O15,53267.0,-7.742000000000001
Al1N7Si4Sr1,163667.0,-7.7410000000000005
Na1Nb3O8,202400.0,-7.74
Hf2K2O5,180185.0,-7.74
Nb5O9Sr2,42007.0,-7.739
Fe1O3Ti1,246514.0,-7.739
Ca2N8Si5,79070.0,-7.7379999999999995
La2Mo4O15,93722.0,-7.737
Ca1Fe3O12Ti4,79277.0,-7.737
Mn3O4,97867.0,-7.736000000000001
Mn3O4,40110.0,-7.735
